Temperature,Energy,HeatCapacity
2,1.411,0
2,1.476,0
2,1.482,0
2,1.584,0
2,1.476,0
2,1.459,0
2,1.454,0
2,1.536,0
2,1.454,0
2,1.443,0
2,1.457,0
2,1.478,0
2,1.618,0
2,1.621,0
2,1.498,0
2,1.45,0
2,1.49,0
2,1.546,0
2,1.544,0
3.4,2.166,0
3.9,2.238,0
2.3,1.651,0
1.7000000000000002,1.149,0
0.6000000000000001,-1.805,0
0.6000000000000001,-2.841,0
0.6000000000000001,-3.405,0
0.6000000000000001,-3.707,0
0.6000000000000001,-3.986,0
0.6000000000000001,-4.161,0
0.6000000000000001,-4.326,0
0.6000000000000001,-4.441,0
0.6000000000000001,-4.524,0
0.6000000000000001,-4.619,0
0.6000000000000001,-4.669,0
0.6000000000000001,-4.704,0
0.6000000000000001,-4.77,0
0.6000000000000001,-4.766,0
0.6000000000000001,-4.817,0
0.6000000000000001,-4.842,0
0.6000000000000001,-4.879,0
0.6000000000000001,-4.866,0
0.6000000000000001,-4.897,0
0.6000000000000001,-4.912,0
0.6000000000000001,-4.902,0
0.6000000000000001,-4.979,0
0.6000000000000001,-4.973,0
0.6000000000000001,-4.986,0
0.6000000000000001,-5.03,0
0.6000000000000001,-5.042,0
3.9,2.173,0
3.9,2.17,0
3.9,2.127,0
3.9,2.197,0
3.9,2.267,0
3.9,2.216,0
3.9,2.255,0
3.9,2.243,0
3.9,2.227,0
3.9,2.165,0
3.9,2.164,0
3.9,2.199,0
3.9,2.226,0
3.9,2.203,0
3.9,2.219,0
3.9,2.182,0
3.9,2.207,0
3.9,2.217,0
3.9,2.204,0
3.9,2.319,0
3.9,2.202,0
3.9,2.274,0
3.9,2.196,0
3.9,2.216,0
3.9,2.219,0
3.9,2.296,0
3.9,2.169,0
2.3,1.709,0
2.3,1.722,0
2.3,1.766,0
2.3,1.651,0
2.3,1.65,0
2.3,1.681,0
2.3,1.662,0
0.1,-1.955,0
1.1,-1.642,0
1.1,-2.063,0
1.1,-2.425,0
1.1,-2.746,0
1.2,-2.468,0
1,-3.305,0
0.1,-4.301,0
3.2,2.048,0
1.2,0.072,0
0.1,-2.866,0
0.1,-3.654,0
